project,description,version,developers,url,year,licenses,license urls,dependency
Activity,Provides the base Activity subclass and the relevant hooks to build a composable structure on top.,1.9.0,The Android Open Source Project,https://developer.android.com/jetpack/androidx/releases/activity#1.9.0,2018,"The Apache Software License, Version 2.0",http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.activity:activity:1.9.0
Activity Compose,Compose integration with Activity,1.9.0,The Android Open Source Project,https://developer.android.com/jetpack/androidx/releases/activity#1.9.0,2020,"The Apache Software License, Version 2.0",http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.activity:activity-compose:1.9.0
Activity Kotlin Extensions,"Kotlin extensions for 'activity' artifact",1.9.0,The Android Open Source Project,https://developer.android.com/jetpack/androidx/releases/activity#1.9.0,2018,"The Apache Software License, Version 2.0",http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.activity:activity-ktx:1.9.0
Android App Startup Runtime,Android App Startup Runtime,1.1.1,The Android Open Source Project,https://developer.android.com/jetpack/androidx/releases/startup#1.1.1,2020,"The Apache Software License, Version 2.0",http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.startup:startup-runtime:1.1.1
Android AppCompat Library,"The Support Library is a static library that you can add to your Android application in order to use APIs that are either not available for older platform versions or utility APIs that aren't a part of the framework APIs. Compatible on devices running API 14 or later.",1.6.1,The Android Open Source Project,https://developer.android.com/jetpack/androidx/releases/appcompat#1.6.1,2011,"The Apache Software License, Version 2.0",http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.appcompat:appcompat:1.6.1
Android Arch-Common,Android Arch-Common,2.2.0,The Android Open Source Project,https://developer.android.com/jetpack/androidx/releases/arch-core#2.2.0,2017,"The Apache Software License, Version 2.0",http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.arch.core:core-common:2.2.0
Android Arch-Runtime,Android Arch-Runtime,2.2.0,The Android Open Source Project,https://developer.android.com/jetpack/androidx/releases/arch-core#2.2.0,2017,"The Apache Software License, Version 2.0",http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.arch.core:core-runtime:2.2.0
Android Emoji2 Compat,Core library to enable emoji compatibility in Kitkat and newer devices to avoid the empty emoji characters.,1.2.0,The Android Open Source Project,https://developer.android.com/jetpack/androidx/releases/emoji2#1.2.0,2017,"The Apache Software License, Version 2.0",http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.emoji2:emoji2:1.2.0
Android Emoji2 Compat view helpers,View helpers for Emoji2,1.2.0,The Android Open Source Project,https://developer.android.com/jetpack/androidx/releases/emoji2#1.2.0,2017,"The Apache Software License, Version 2.0",http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.emoji2:emoji2-views-helper:1.2.0
Android Resource Inspection - Annotations,Annotation processors for Android resource and layout inspection,1.0.1,The Android Open Source Project,https://developer.android.com/jetpack/androidx/releases/resourceinspection#1.0.1,2021,"The Apache Software License, Version 2.0",http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.resourceinspection:resourceinspection-annotation:1.0.1
Android Resources Library,The Resources Library is a static library that you can add to your Android application in order to use resource APIs that backport the latest APIs to older versions of the platform. Compatible on devices running API 14 or later.,1.6.1,The Android Open Source Project,https://developer.android.com/jetpack/androidx/releases/appcompat#1.6.1,2019,"The Apache Software License, Version 2.0",http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.appcompat:appcompat-resources:1.6.1
